['282556', '2016-05-31 13:25:55', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-53.00', '868.100', '52.184230', '5.943842', '-4.0', '6.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282557', '2016-05-31 13:26:05', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-53.00', '868.100', '52.184308', '5.943777', '-10.0', '5.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282558', '2016-05-31 13:26:05', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-53.00', '868.100', '52.184308', '5.943777', '-10.0', '5.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282559', '2016-05-31 13:26:15', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-51.00', '868.100', '52.184317', '5.943777', '-8.3', '5.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282560', '2016-05-31 13:26:15', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-51.00', '868.100', '52.184317', '5.943777', '-8.3', '5.50', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282561', '2016-05-31 13:26:24', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-68.00', '868.100', '52.184267', '5.943705', '-8.0', '5.10', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282562', '2016-05-31 13:26:24', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-68.00', '868.100', '52.184272', '5.943730', '-3.1', '4.90', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282563', '2016-05-31 13:26:34', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-75.00', '868.100', '52.184280', '5.943740', '6.2', '4.40', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282564', '2016-05-31 13:26:34', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-75.00', '868.100', '52.184280', '5.943740', '6.2', '4.40', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282565', '2016-05-31 13:26:43', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-71.00', '868.100', '52.184278', '5.943687', '10.7', '3.80', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282566', '2016-05-31 13:26:43', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-71.00', '868.100', '52.184310', '5.943672', '11.5', '3.80', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282657', '2016-05-31 14:57:44', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-85.00', '868.100', '52.184763', '5.943427', '24.0', '3.90', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282658', '2016-05-31 14:57:44', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-85.00', '868.100', '52.184763', '5.943427', '24.0', '3.90', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282659', '2016-05-31 14:57:53', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-77.00', '868.100', '52.184155', '5.943787', '23.5', '3.80', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282660', '2016-05-31 14:57:53', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-77.00', '868.100', '52.184155', '5.943787', '23.5', '3.80', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282671', '2016-05-31 15:01:32', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '5.00', '-92.00', '868.100', '52.184082', '5.945220', '25.2', '3.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282672', '2016-05-31 15:01:32', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '5.00', '-92.00', '868.100', '52.184082', '5.945220', '25.2', '3.60', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
