['1047362', '2017-02-14 22:24:23', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.97', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047363', '2017-02-14 22:24:25', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '2.80', '-113.00', '868.300', '52.022590', '4.692522', '0.0', '19.97', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047378', '2017-02-14 22:27:01', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.98', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047379', '2017-02-14 22:27:01', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.98', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047380', '2017-02-14 22:27:04', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.20', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.98', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047381', '2017-02-14 22:27:04', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.20', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.98', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047382', '2017-02-14 22:27:06', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.50', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047383', '2017-02-14 22:27:06', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-4.50', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047384', '2017-02-14 22:27:17', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-2.20', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047385', '2017-02-14 22:27:17', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-2.20', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047390', '2017-02-14 22:27:31', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.95', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047391', '2017-02-14 22:27:31', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.95', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047392', '2017-02-14 22:27:59', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047393', '2017-02-14 22:27:59', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-0.80', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047396', '2017-02-14 22:28:03', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '2.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047397', '2017-02-14 22:28:03', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '2.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047398', '2017-02-14 22:28:05', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047399', '2017-02-14 22:28:05', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
