['1442815', '2017-04-28 10:47:49', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.20', '-112.00', '867.900', '46.455718', '15.665314', '276.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1442816', '2017-04-28 10:48:07', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.50', '-115.00', '868.100', '46.455718', '15.665314', '276.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1442817', '2017-04-28 10:48:24', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.20', '-111.00', '868.300', '46.455718', '15.665314', '276.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443210', '2017-04-28 12:29:22', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.50', '-113.00', '868.500', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443215', '2017-04-28 12:30:54', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.00', '-113.00', '867.900', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443216', '2017-04-28 12:31:12', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.00', '-113.00', '868.100', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443219', '2017-04-28 12:31:31', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.20', '-113.00', '868.300', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443223', '2017-04-28 12:33:01', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.00', '-112.00', '867.700', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443224', '2017-04-28 12:33:19', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.80', '-113.00', '867.900', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443229', '2017-04-28 12:34:15', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.80', '-113.00', '868.500', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443232', '2017-04-28 12:35:29', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.20', '-113.00', '867.700', '46.455718', '15.665314', '279.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443233', '2017-04-28 12:35:47', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.50', '-114.00', '867.900', '46.455718', '15.665314', '279.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443238', '2017-04-28 12:37:54', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.50', '-113.00', '867.700', '46.455718', '15.665314', '280.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443241', '2017-04-28 12:38:13', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.20', '-114.00', '867.900', '46.455718', '15.665314', '280.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443242', '2017-04-28 12:38:50', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.80', '-112.00', '868.300', '46.455718', '15.665314', '280.0', '0.70', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443250', '2017-04-28 12:40:23', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.80', '-111.00', '867.700', '46.455718', '15.665314', '280.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
