['4006595', '2018-02-14 22:48:57', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-43.00', '868.100', '51.468000', '5.804200', '91.8', '', '2.6', '', 'HDOP', 'ttn_http_integration_v2'],1518566400,Partly Cloudy,partly-cloudy-night,30.54,30.54,23.68,0.75,1012.24,2.71,6.22,
['4006655', '2018-02-14 23:49:29', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-44.00', '868.100', '51.468000', '5.804200', '91.8', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518566400,Partly Cloudy,partly-cloudy-night,30.54,30.54,23.68,0.75,1012.24,2.71,6.22,
['4006775', '2018-02-15 00:53:03', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-44.00', '868.100', '51.468000', '5.804200', '91.8', '', '3.1', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4006906', '2018-02-15 02:01:40', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '31.00', '-45.00', '868.100', '51.468000', '5.804200', '71.7', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4006980', '2018-02-15 03:02:13', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-44.00', '868.100', '51.468000', '5.804200', '88.0', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4007210', '2018-02-15 05:25:30', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-46.00', '868.100', '51.468000', '5.804200', '40.7', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4009483', '2018-02-15 07:36:41', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-47.00', '868.100', '51.468300', '5.804500', '136.0', '', '1.6', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4010269', '2018-02-15 07:56:52', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-47.00', '868.100', '51.468100', '5.804200', '78.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4011760', '2018-02-15 08:51:21', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-46.00', '868.100', '51.468000', '5.804000', '87.3', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4011868', '2018-02-15 09:13:33', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-46.00', '868.100', '51.468000', '5.804200', '95.4', '', '1.2', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4012221', '2018-02-15 09:58:01', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-47.00', '868.100', '51.468300', '5.804300', '125.1', '', '3.4', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
['4012588', '2018-02-15 11:41:56', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-46.00', '868.100', '51.468000', '5.804200', '72.9', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518652800,Overcast,cloudy,37.77,33.62,26.14,0.63,1011.42,5.29,6.22,
