['1769312', '2017-06-16 14:52:13', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-74.00', '868.100', '53.102056', '-6.100600', '131.0', '6.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769316', '2017-06-16 14:53:19', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-74.00', '868.100', '53.102067', '-6.100586', '135.0', '14.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769329', '2017-06-16 14:55:32', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-81.00', '868.100', '53.102103', '-6.100595', '143.0', '13.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769334', '2017-06-16 14:56:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-80.00', '868.100', '53.102106', '-6.100601', '143.0', '19.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769336', '2017-06-16 14:57:45', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-80.00', '868.100', '53.102120', '-6.100721', '130.0', '15.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769338', '2017-06-16 14:59:49', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-78.00', '868.100', '53.102109', '-6.100788', '127.0', '19.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769339', '2017-06-16 15:00:57', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-71.00', '868.100', '53.102101', '-6.100790', '126.0', '13.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769352', '2017-06-16 15:05:12', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '-2.00', '-99.00', '868.100', '53.102040', '-6.100761', '125.0', '11.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769366', '2017-06-16 15:07:25', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '0.00', '-98.00', '868.100', '53.102027', '-6.100655', '135.0', '5.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769370', '2017-06-16 15:08:32', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '1.00', '-97.00', '868.100', '53.102032', '-6.100639', '136.0', '20.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769376', '2017-06-16 15:09:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '4.00', '-100.00', '868.100', '53.102032', '-6.100672', '138.0', '4.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769497', '2017-06-16 15:31:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '8.00', '-85.00', '868.100', '53.102082', '-6.100926', '138.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769522', '2017-06-16 15:34:57', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-81.00', '868.100', '53.102086', '-6.100886', '140.0', '16.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769542', '2017-06-16 15:37:08', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-79.00', '868.100', '53.102070', '-6.100842', '133.0', '11.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769550', '2017-06-16 15:39:22', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-81.00', '868.100', '53.102072', '-6.100811', '134.0', '15.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769557', '2017-06-16 15:40:27', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-79.00', '868.100', '53.102047', '-6.100916', '130.0', '18.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['1769562', '2017-06-16 15:41:34', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-79.00', '868.100', '53.102149', '-6.100682', '137.0', '15.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1497571200,Mostly Cloudy,partly-cloudy-night,54.12,54.12,49.05,0.83,1019.16,7.85,6.22,
['2115204', '2017-08-02 16:22:19', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102073', '-6.100798', '0.0', '19.75', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115218', '2017-08-02 16:25:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102074', '-6.100771', '0.0', '19.79', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115288', '2017-08-02 16:34:28', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-78.00', '868.100', '53.102068', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
