470731,2016-08-30 20:23:06,0004A30B001A5935,70B3D57ED00008D8,0000024B080E0021,,SF12BW125,-4.00,-117.00,868.500,51.918836,4.249219,6.0,,,,LocateGlobal.eu,user_uploaded
4238568,2018-02-26 20:49:03,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF12BW125,8.80,-31.00,868.100,51.918316,4.244231,59.0,,1.4,,HDOP,ttn_http_integration_v2
4238569,2018-02-26 20:49:03,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF12BW125,-6.00,-122.00,868.100,51.918316,4.244231,59.0,,1.4,,HDOP,ttn_http_integration_v2
4238570,2018-02-26 20:49:08,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF12BW125,-5.20,-118.00,868.500,51.918284,4.244339,59.0,,1.0,,HDOP,ttn_http_integration_v2
4238573,2018-02-26 20:49:24,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF12BW125,8.80,-29.00,868.300,51.918284,4.244381,57.0,,1.1,,HDOP,ttn_http_integration_v2
4238574,2018-02-26 20:49:24,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF12BW125,-6.20,-121.00,868.300,51.918284,4.244381,57.0,,1.1,,HDOP,ttn_http_integration_v2
4305575,2018-03-02 11:27:17,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF12BW125,6.80,-56.00,868.500,51.918552,4.244746,11.0,,3.0,,HDOP,ttn_http_integration_v2
4305576,2018-03-02 11:27:22,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF12BW125,-8.00,-121.00,868.300,51.918541,4.244832,5.0,,2.4,,HDOP,ttn_http_integration_v2
4305577,2018-03-02 11:27:22,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF12BW125,8.50,-55.00,868.300,51.918541,4.244832,5.0,,2.4,,HDOP,ttn_http_integration_v2
4541527,2018-03-09 13:30:40,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-3.50,-119.00,868.100,51.918857,4.249188,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4541528,2018-03-09 13:30:40,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,5.80,-79.00,868.100,51.918857,4.249188,45.9,10.00,,,fused,Android7.0 App30:2018.03.04
4541568,2018-03-09 13:31:21,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-8.80,-120.00,868.100,51.918343,4.246206,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541569,2018-03-09 13:31:21,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-13.20,-121.00,868.100,51.918343,4.246206,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
4541570,2018-03-09 13:31:21,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-1.50,-117.00,868.100,51.918343,4.246206,45.5,10.00,,,fused,Android7.0 App30:2018.03.04
