3968859,2018-02-10 17:09:08,sodaq_v3,skylab_main,7276FF00390300DA,,SF8BW125,7.80,-49.00,868.500,51.918800,4.244000,-138.0,,,,preparsed_json,mqtt import v2
4305584,2018-03-02 11:27:42,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,8.20,-56.00,868.500,51.918488,4.244789,11.0,,3.0,,HDOP,ttn_http_integration_v2
4305585,2018-03-02 11:27:45,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,10.00,-57.00,868.300,51.918520,4.244811,6.0,,2.4,,HDOP,ttn_http_integration_v2
4305590,2018-03-02 11:28:02,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,10.50,-58.00,868.100,51.918531,4.244832,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305592,2018-03-02 11:28:10,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,8.50,-57.00,868.500,51.918531,4.244832,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305593,2018-03-02 11:28:14,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,12.80,-57.00,868.300,51.918541,4.244832,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305594,2018-03-02 11:28:14,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF8BW125,-9.50,-119.00,868.300,51.918541,4.244832,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305599,2018-03-02 11:28:34,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF8BW125,-8.50,-121.00,868.100,51.918541,4.244854,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305600,2018-03-02 11:28:34,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,9.20,-57.00,868.100,51.918541,4.244854,3.0,,2.4,,HDOP,ttn_http_integration_v2
4305601,2018-03-02 11:28:42,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,7.50,-58.00,868.500,51.918541,4.244875,2.0,,2.4,,HDOP,ttn_http_integration_v2
4305605,2018-03-02 11:28:46,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,10.00,-55.00,868.300,51.918541,4.244896,2.0,,2.4,,HDOP,ttn_http_integration_v2
4305607,2018-03-02 11:29:05,skylabmapper1,skylab_ttn,7276FF00390301F1,LORA,SF8BW125,-8.20,-123.00,868.100,51.918552,4.244939,2.0,,2.4,,HDOP,ttn_http_integration_v2
4305608,2018-03-02 11:29:05,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,9.20,-58.00,868.100,51.918552,4.244939,2.0,,2.4,,HDOP,ttn_http_integration_v2
4305614,2018-03-02 11:29:13,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,7.80,-57.00,868.500,51.918563,4.244961,2.0,,2.4,,HDOP,ttn_http_integration_v2
4305615,2018-03-02 11:29:18,skylabmapper1,skylab_ttn,FCC23DFFFE0F508E,LORA,SF8BW125,11.50,-57.00,868.300,51.918563,4.244982,2.0,,2.4,,HDOP,ttn_http_integration_v2
