['1651023', '2017-05-31 20:05:04', 'skylab_tracker_0001', 'skylab_main', 'AA555A00080E0096', '', 'SF9BW125', '-6.80', '-115.00', '868.100', '51.918800', '4.248700', '28.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1651024', '2017-05-31 20:05:04', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F2', '', 'SF9BW125', '-11.80', '-121.00', '868.100', '51.918800', '4.248700', '28.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1651026', '2017-05-31 20:08:03', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F2', '', 'SF9BW125', '-5.50', '-121.00', '868.300', '51.918800', '4.248600', '33.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1651029', '2017-05-31 20:09:28', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F2', '', 'SF9BW125', '-6.50', '-119.00', '868.500', '51.918800', '4.248300', '-38.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1651031', '2017-05-31 20:10:08', 'skylab_tracker_0001', 'skylab_main', 'AA555A00080E0096', '', 'SF9BW125', '-5.20', '-119.00', '868.100', '51.918900', '4.248600', '53.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1651032', '2017-05-31 20:10:08', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F2', '', 'SF9BW125', '-11.50', '-123.00', '868.100', '51.918900', '4.248600', '53.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1496188800,Mostly Cloudy,partly-cloudy-night,60.24,60.24,54.39,0.81,1018.98,6.36,6.22,
['1770128', '2017-06-16 18:12:02', 'skylab_tracker_0002', 'skylab_main', 'AA555A00080E0096', '', 'SF9BW125', '-12.20', '-108.00', '868.100', '51.918900', '4.248500', '24.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1497571200,Mostly Cloudy,partly-cloudy-night,62.07,62.07,56.77,0.83,1015.91,6.02,6.22,
['1770154', '2017-06-16 18:18:02', 'skylab_tracker_0002', 'skylab_main', 'AA555A00080E0096', '', 'SF9BW125', '-8.80', '-108.00', '868.100', '51.918900', '4.248500', '-1.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1497571200,Mostly Cloudy,partly-cloudy-night,62.07,62.07,56.77,0.83,1015.91,6.02,6.22,
['1770155', '2017-06-16 18:21:02', 'skylab_tracker_0002', 'skylab_main', 'AA555A00080E0096', '', 'SF9BW125', '-11.80', '-109.00', '868.100', '51.918900', '4.248500', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1497571200,Mostly Cloudy,partly-cloudy-night,62.07,62.07,56.77,0.83,1015.91,6.02,6.22,
['3654666', '2018-01-23 09:56:04', 'skylab_tracker_0002', 'skylab_main', '7276FF00390300DA', '', 'SF9BW125', '8.50', '-105.00', '868.100', '51.918100', '4.245400', '8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1516665600,Mostly Cloudy,partly-cloudy-night,43.89,40.8,39.9,0.86,1018.79,5.36,6.21,
['3901333', '2018-02-06 07:43:08', 'sodaq_v3', 'skylab_main', '7276FF00390300DA', '', 'SF9BW125', '13.00', '-76.00', '868.300', '51.918800', '4.245000', '0.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1517875200,Mostly Cloudy,partly-cloudy-night,29.7,22.64,26.34,0.87,1021.34,7.11,5.78,
