['4367413', '2018-03-05 03:11:24', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '6.20', '-81.00', '903.900', '42.837406', '-85.628914', '258.0', '', '1.1', '8', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4378658', '2018-03-05 14:06:32', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '6.80', '-76.00', '904.300', '42.837509', '-85.628929', '256.0', '', '3.1', '4', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4378659', '2018-03-05 14:06:36', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '7.80', '-76.00', '904.500', '42.837509', '-85.628929', '256.0', '', '3.1', '4', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4378660', '2018-03-05 14:06:43', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '10.80', '-85.00', '904.700', '42.837456', '-85.628822', '218.0', '', '3.1', '4', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4378802', '2018-03-05 14:17:29', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '6.50', '-85.00', '904.500', '42.837349', '-85.628860', '260.0', '', '3.1', '4', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4388138', '2018-03-05 21:16:38', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '7.20', '-65.00', '903.900', '42.837456', '-85.628731', '233.0', '', '1.7', '5', 'sats', 'ttn_http_integration_v2'],1520208000,Partly Cloudy,partly-cloudy-night,38.97,35.13,21.54,0.49,1029.8,5.18,10,
['4389833', '2018-03-06 00:34:56', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '8.50', '-87.00', '903.900', '42.837475', '-85.628784', '240.0', '', '1.0', '9', 'sats', 'ttn_http_integration_v2'],1520294400,Mostly Cloudy,partly-cloudy-night,36.18,29.84,17.78,0.47,1016.78,8.18,10,
['4400052', '2018-03-06 13:41:50', 'mapper01', 'esp32ttnmapper', 'B827EBFFFEB42372', 'LORA', 'SF10BW125', '7.50', '-96.00', '903.900', '42.837624', '-85.628693', '240.0', '', '1.6', '6', 'sats', 'ttn_http_integration_v2'],1520294400,Mostly Cloudy,partly-cloudy-night,36.18,29.84,17.78,0.47,1016.78,8.18,10,
['4604429', '2018-03-11 15:16:24', 'mapper01', 'esp32ttnmapper', 'radiopi01', 'LORA', 'SF10BW125', '7.75', '-57.00', '905.100', '42.837498', '-85.628754', '244.0', '', '1.5', '6', 'sats', 'ttn_http_integration_v2'],1520726400,Mostly Cloudy,partly-cloudy-night,33.39,33.39,21.74,0.62,1020.56,1.55,10,
['4606055', '2018-03-11 16:22:49', 'mapper01', 'esp32ttnmapper', 'radiopi01', 'LORA', 'SF10BW125', '6.50', '-53.00', '904.300', '42.837234', '-85.628876', '285.0', '', '1.5', '6', 'sats', 'ttn_http_integration_v2'],1520726400,Mostly Cloudy,partly-cloudy-night,33.39,33.39,21.74,0.62,1020.56,1.55,10,
['4606057', '2018-03-11 16:22:53', 'mapper01', 'esp32ttnmapper', 'radiopi01', 'LORA', 'SF10BW125', '8.25', '-52.00', '904.500', '42.837234', '-85.628876', '285.0', '', '1.5', '6', 'sats', 'ttn_http_integration_v2'],1520726400,Mostly Cloudy,partly-cloudy-night,33.39,33.39,21.74,0.62,1020.56,1.55,10,
