['3482432', '2018-01-05 09:12:51', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '3.25', '-84.00', '867.300', '14.584040', '121.063089', '44.1', '65.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482441', '2018-01-05 09:12:57', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.00', '-77.00', '867.500', '14.583876', '121.063141', '43.5', '200.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482450', '2018-01-05 09:13:03', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '9.25', '-78.00', '867.100', '14.583953', '121.063351', '49.4', '48.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482478', '2018-01-05 09:13:24', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.25', '-79.00', '868.100', '14.584236', '121.063043', '44.1', '24.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482497', '2018-01-05 09:13:36', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '9.00', '-72.00', '868.300', '14.584170', '121.063084', '44.1', '24.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482507', '2018-01-05 09:13:43', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '9.75', '-73.00', '867.100', '14.584219', '121.063107', '44.1', '16.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482529', '2018-01-05 09:13:49', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.25', '-73.00', '867.300', '14.584219', '121.063107', '44.1', '16.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482536', '2018-01-05 09:14:01', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '4.75', '-79.00', '868.300', '14.584211', '121.063103', '44.1', '16.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482561', '2018-01-05 09:14:32', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '9.00', '-76.00', '867.100', '14.584164', '121.063097', '44.1', '32.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482563', '2018-01-05 09:14:55', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '10.75', '-75.00', '867.700', '14.584116', '121.063064', '44.1', '32.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482565', '2018-01-05 09:15:01', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.50', '-83.00', '868.100', '14.584116', '121.063064', '44.1', '32.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
['3482570', '2018-01-05 09:15:26', 'ttn-mapper-ios', 'loratestbluedynamics1', 'blued018p', '', 'SF8BW125', '8.00', '-81.00', '867.100', '14.584144', '121.063086', '44.1', '32.00', '', '', 'ios', 'iOS 11.2.1 - org.ttnmapper.ios.TTNMapper:23'],1515110400,Humid and Partly Cloudy,partly-cloudy-day,79.87,84.3,74.11,0.83,1011.78,3.47,6.22,
