['4849407', '2018-03-20 19:17:00', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-5.50', '-106.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849418', '2018-03-20 19:17:27', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-8.00', '-103.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849462', '2018-03-20 19:19:55', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-8.20', '-103.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849469', '2018-03-20 19:20:09', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-7.20', '-102.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849472', '2018-03-20 19:20:21', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-10.50', '-97.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849476', '2018-03-20 19:20:34', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-10.00', '-100.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['4849513', '2018-03-20 19:22:10', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-7.20', '-102.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521504000,Clear,clear-night,46.29,40.27,25.46,0.44,1007.31,13.61,10,
['5038743', '2018-03-24 21:08:23', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.20', '-103.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038745', '2018-03-24 21:08:33', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.20', '-105.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038757', '2018-03-24 21:09:50', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.50', '-108.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038759', '2018-03-24 21:10:00', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.00', '-108.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038765', '2018-03-24 21:10:45', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.80', '-108.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038768', '2018-03-24 21:11:16', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '2.20', '-109.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038774', '2018-03-24 21:11:42', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '1.80', '-117.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5038776', '2018-03-24 21:11:46', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '3.50', '-108.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521849600,Clear,clear-night,43.45,41.79,14.94,0.31,1024.19,3.47,10,
['5054781', '2018-03-25 13:44:37', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '-0.50', '-108.00', '913.100', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521936000,Overcast,cloudy,38.36,31.91,23.64,0.55,1019.81,9.35,10,
['5054837', '2018-03-25 13:46:03', 'stm32', 'whin_app_test', 'C0EE40FFFF293A0C', 'LORA', 'SF8BW125', '3.80', '-107.00', '913.300', '40.429348', '-86.912512', '189.0', '', '1.5', '', 'HDOP', 'ttn_http_integration_v2'],1521936000,Overcast,cloudy,38.36,31.91,23.64,0.55,1019.81,9.35,10,
